country,country_code_2_digit,country_code_3_digit,population,reported_year_week,reported_week_start_date,reported_week_end_date,source,new_hospital_occupancy_Count,new_icu_occupancy_Count
Portugal,PT,PRT,10276617,2020-W39,2020-09-20,2020-09-26,"TESSy COVID-19, national daily data",1.47908596768762,
Latvia,LV,LVA,1919968,2020-W39,2020-09-20,2020-09-26,"TESSy COVID-19, national weekly data",0.31250520842014,0.0
Ireland,IE,IRL,4904240,2020-W39,2020-09-20,2020-09-26,,1.14186907655417,0.0815620768967261
France,FR,FRA,67012883,2020-W39,2020-09-20,2020-09-26,,,1.17290879725321
United Kingdom,UK,GBR,66647112,2020-W39,2020-09-20,2020-09-26,,3.88013812211398,
Slovenia,SI,SVN,2080908,2020-W39,2020-09-20,2020-09-26,"TESSy COVID-19, national weekly data",2.06640562677447,
Estonia,EE,EST,1324820,2020-W39,2020-09-20,2020-09-26,"TESSy COVID-19, national daily data",1.88704880663034,
Estonia,EE,EST,1324820,2020-W39,2020-09-20,2020-09-26,"TESSy COVID-19, national weekly data",,0.22644585679564
Netherlands,NL,NLD,17282163,2020-W39,2020-09-20,2020-09-26,,,0.514981834160458
Sweden,SE,SWE,10230185,2020-W39,2020-09-20,2020-09-26,,,0.0781999543507767
Romania,RO,ROU,19414458,2020-W39,2020-09-20,2020-09-26,"TESSy COVID-19, national weekly data",48.8141363513728,
Croatia,HR,HRV,4076246,2020-W39,2020-09-20,2020-09-26,,5.02913710310909,
Czechia,CZ,CZE,10649800,2020-W39,2020-09-20,2020-09-26,"TESSy COVID-19, national weekly data",12.9579898214051,3.00475126293452
Belgium,BE,BEL,11455519,2020-W39,2020-09-20,2020-09-26,"TESSy COVID-19, national weekly data",3.91077872595733,
Greece,EL,GRC,10724599,2020-W39,2020-09-20,2020-09-26,"TESSy COVID-19, national weekly data",,0.270406380695446
Denmark,DK,DNK,5806081,2020-W39,2020-09-20,2020-09-26,,2.30792508750739,
Spain,ES,ESP,46937060,2020-W39,2020-09-20,2020-09-26,"TESSy COVID-19, national weekly data",8.08955652527022,0.619979180630402
Netherlands,NL,NLD,17282163,2020-W39,2020-09-20,2020-09-26,"TESSy COVID-19, national daily data",1.55073181522475,
Germany,DE,DEU,83019213,2020-W39,2020-09-20,2020-09-26,"TESSy COVID-19, national daily data",0.496270664478595,
Romania,RO,ROU,19414458,2020-W38,2020-09-13,2020-09-19,"TESSy COVID-19, national weekly data",44.9973931798663,
Greece,EL,GRC,10724599,2020-W38,2020-09-13,2020-09-19,"TESSy COVID-19, national weekly data",,0.419596107975692
Netherlands,NL,NLD,17282163,2020-W38,2020-09-13,2020-09-19,"TESSy COVID-19, national daily data",1.07625417026792,
Belgium,BE,BEL,11455519,2020-W38,2020-09-13,2020-09-19,"TESSy COVID-19, national weekly data",2.76722512528677,
Estonia,EE,EST,1324820,2020-W38,2020-09-13,2020-09-19,"TESSy COVID-19, national daily data",1.20771123624341,
Estonia,EE,EST,1324820,2020-W38,2020-09-13,2020-09-19,"TESSy COVID-19, national weekly data",,0.22644585679564
Sweden,SE,SWE,10230185,2020-W38,2020-09-13,2020-09-19,,,0.0684249600569296
Germany,DE,DEU,83019213,2020-W38,2020-09-13,2020-09-19,"TESSy COVID-19, national daily data",0.502293366717413,
Denmark,DK,DNK,5806081,2020-W38,2020-09-13,2020-09-19,,2.03235194273039,
Spain,ES,ESP,46937060,2020-W38,2020-09-13,2020-09-19,"TESSy COVID-19, national weekly data",8.63070673791669,0.664719946242905
Slovenia,SI,SVN,2080908,2020-W38,2020-09-13,2020-09-19,"TESSy COVID-19, national weekly data",1.97029373715705,
Portugal,PT,PRT,10276617,2020-W38,2020-09-13,2020-09-19,"TESSy COVID-19, national daily data",1.54720176883112,
Cyprus,CY,CYP,875899,2020-W38,2020-09-13,2020-09-19,"TESSy COVID-19, national daily data",0.570842071974052,
Latvia,LV,LVA,1919968,2020-W38,2020-09-13,2020-09-19,"TESSy COVID-19, national weekly data",0.364589409823497,0.0
United Kingdom,UK,GBR,66647112,2020-W38,2020-09-13,2020-09-19,,2.76231024083984,
Netherlands,NL,NLD,17282163,2020-W38,2020-09-13,2020-09-19,,,0.295101949912172
Ireland,IE,IRL,4904240,2020-W38,2020-09-13,2020-09-19,,0.999135441984895,0.122343115345089
France,FR,FRA,67012883,2020-W38,2020-09-13,2020-09-19,,,0.893857976532662
Czechia,CZ,CZE,10649800,2020-W38,2020-09-13,2020-09-19,"TESSy COVID-19, national weekly data",8.10343856222652,1.71834212849068
Croatia,HR,HRV,4076246,2020-W38,2020-09-13,2020-09-19,,4.19503631527636,
Greece,EL,GRC,10724599,2020-W37,2020-09-06,2020-09-12,"TESSy COVID-19, national weekly data",,0.335676886380554
Germany,DE,DEU,83019213,2020-W37,2020-09-06,2020-09-12,"TESSy COVID-19, national daily data",0.374612079254473,
France,FR,FRA,67012883,2020-W37,2020-09-06,2020-09-12,,,0.637190911484886
Denmark,DK,DNK,5806081,2020-W37,2020-09-06,2020-09-12,,1.34341908078788,
Estonia,EE,EST,1324820,2020-W37,2020-09-06,2020-09-12,"TESSy COVID-19, national daily data",0.754819522652134,
Belgium,BE,BEL,11455519,2020-W37,2020-09-06,2020-09-12,"TESSy COVID-19, national weekly data",1.85936577818954,
United Kingdom,UK,GBR,66647112,2020-W37,2020-09-06,2020-09-12,,2.08111043131171,
Spain,ES,ESP,46937060,2020-W37,2020-09-06,2020-09-12,"TESSy COVID-19, national weekly data",8.82458338890421,0.690286098021478
Netherlands,NL,NLD,17282163,2020-W37,2020-09-06,2020-09-12,"TESSy COVID-19, national daily data",0.49762289593033,
Slovenia,SI,SVN,2080908,2020-W37,2020-09-06,2020-09-12,"TESSy COVID-19, national weekly data",1.73001401311351,
Sweden,SE,SWE,10230185,2020-W37,2020-09-06,2020-09-12,,,0.0879749486446237
Latvia,LV,LVA,1919968,2020-W37,2020-09-06,2020-09-12,"TESSy COVID-19, national weekly data",0.31250520842014,0.0
Romania,RO,ROU,19414458,2020-W37,2020-09-06,2020-09-12,"TESSy COVID-19, national weekly data",40.135037506584,
Portugal,PT,PRT,10276617,2020-W37,2020-09-06,2020-09-12,"TESSy COVID-19, national daily data",1.39150850907453,
Estonia,EE,EST,1324820,2020-W37,2020-09-06,2020-09-12,"TESSy COVID-19, national weekly data",,0.0754819522652134
Croatia,HR,HRV,4076246,2020-W37,2020-09-06,2020-09-12,,5.37259036868727,
Netherlands,NL,NLD,17282163,2020-W37,2020-09-06,2020-09-12,,,0.167803069557902
Czechia,CZ,CZE,10649800,2020-W37,2020-09-06,2020-09-12,"TESSy COVID-19, national weekly data",4.76065278221187,1.1080020282071
Cyprus,CY,CYP,875899,2020-W37,2020-09-06,2020-09-12,"TESSy COVID-19, national daily data",0.11416841439481,
Ireland,IE,IRL,4904240,2020-W37,2020-09-06,2020-09-12,,0.489372461380357,0.0
Greece,EL,GRC,10724599,2020-W36,2020-08-30,2020-09-05,"TESSy COVID-19, national weekly data",,0.205135875010338
Czechia,CZ,CZE,10649800,2020-W36,2020-08-30,2020-09-05,"TESSy COVID-19, national weekly data",3.09864973990122,0.741797968036958
Sweden,SE,SWE,10230185,2020-W36,2020-08-30,2020-09-05,,,0.0781999543507767
Germany,DE,DEU,83019213,2020-W36,2020-08-30,2020-09-05,"TESSy COVID-19, national daily data",0.307157814179713,
Croatia,HR,HRV,4076246,2020-W36,2020-08-30,2020-09-05,,5.74057601037818,
Spain,ES,ESP,46937060,2020-W36,2020-08-30,2020-09-05,"TESSy COVID-19, national weekly data",8.1300362655863,0.798942243080415
Denmark,DK,DNK,5806081,2020-W36,2020-08-30,2020-09-05,,0.775049469685318,
Slovenia,SI,SVN,2080908,2020-W36,2020-08-30,2020-09-05,"TESSy COVID-19, national weekly data",0.768895116939336,
Cyprus,CY,CYP,875899,2020-W36,2020-08-30,2020-09-05,"TESSy COVID-19, national daily data",0.11416841439481,
Estonia,EE,EST,1324820,2020-W36,2020-08-30,2020-09-05,"TESSy COVID-19, national daily data",0.22644585679564,
Ireland,IE,IRL,4904240,2020-W36,2020-08-30,2020-09-05,,0.407810384483631,0.0203905192241815
Estonia,EE,EST,1324820,2020-W36,2020-08-30,2020-09-05,"TESSy COVID-19, national weekly data",,0.0
Netherlands,NL,NLD,17282163,2020-W36,2020-08-30,2020-09-05,"TESSy COVID-19, national daily data",0.329819826372428,
Latvia,LV,LVA,1919968,2020-W36,2020-08-30,2020-09-05,"TESSy COVID-19, national weekly data",0.260421007016784,0.0
United Kingdom,UK,GBR,66647112,2020-W36,2020-08-30,2020-09-05,,1.37890446025628,
Romania,RO,ROU,19414458,2020-W36,2020-08-30,2020-09-05,"TESSy COVID-19, national weekly data",41.3145708213951,
Netherlands,NL,NLD,17282163,2020-W36,2020-08-30,2020-09-05,,,0.0925810038940149
Portugal,PT,PRT,10276617,2020-W36,2020-08-30,2020-09-05,"TESSy COVID-19, national daily data",1.15796861943965,
France,FR,FRA,67012883,2020-W36,2020-08-30,2020-09-05,,,0.429768108917206
Belgium,BE,BEL,11455519,2020-W36,2020-08-30,2020-09-05,"TESSy COVID-19, national weekly data",1.03880059908242,
Denmark,DK,DNK,5806081,2020-W35,2020-08-23,2020-08-29,,0.39613639561694,
Estonia,EE,EST,1324820,2020-W35,2020-08-23,2020-08-29,"TESSy COVID-19, national weekly data",,0.0
Slovenia,SI,SVN,2080908,2020-W35,2020-08-23,2020-08-29,"TESSy COVID-19, national weekly data",0.33639161366096,
Portugal,PT,PRT,10276617,2020-W35,2020-08-23,2020-08-29,"TESSy COVID-19, national daily data",0.788197127517743,
Latvia,LV,LVA,1919968,2020-W35,2020-08-23,2020-08-29,"TESSy COVID-19, national weekly data",0.208336805613427,0.0
Estonia,EE,EST,1324820,2020-W35,2020-08-23,2020-08-29,"TESSy COVID-19, national daily data",0.150963904530427,
Greece,EL,GRC,10724599,2020-W35,2020-08-23,2020-08-29,"TESSy COVID-19, national weekly data",,0.167838443190277
France,FR,FRA,67012883,2020-W35,2020-08-23,2020-08-29,,,0.313372579418796
Sweden,SE,SWE,10230185,2020-W35,2020-08-23,2020-08-29,,,0.0684249600569296
United Kingdom,UK,GBR,66647112,2020-W35,2020-08-23,2020-08-29,,1.20185252738333,
Czechia,CZ,CZE,10649800,2020-W35,2020-08-23,2020-08-29,"TESSy COVID-19, national weekly data",2.25356344720089,0.535221318710211
Romania,RO,ROU,19414458,2020-W35,2020-08-23,2020-08-29,"TESSy COVID-19, national weekly data",39.3830206333857,
Netherlands,NL,NLD,17282163,2020-W35,2020-08-23,2020-08-29,"TESSy COVID-19, national daily data",0.237238822478413,
Germany,DE,DEU,83019213,2020-W35,2020-08-23,2020-08-29,"TESSy COVID-19, national daily data",0.283067005224441,
Spain,ES,ESP,46937060,2020-W35,2020-08-23,2020-08-29,"TESSy COVID-19, national weekly data",7.31618043396838,0.671111484187548
Belgium,BE,BEL,11455519,2020-W35,2020-08-23,2020-08-29,"TESSy COVID-19, national weekly data",0.899129930298226,
Ireland,IE,IRL,4904240,2020-W35,2020-08-23,2020-08-29,,0.448591422931994,0.040781038448363
Netherlands,NL,NLD,17282163,2020-W35,2020-08-23,2020-08-29,,,0.0694357529205112
Cyprus,CY,CYP,875899,2020-W35,2020-08-23,2020-08-29,"TESSy COVID-19, national daily data",0.570842071974052,
Croatia,HR,HRV,4076246,2020-W35,2020-08-23,2020-08-29,,4.63661908530545,
Estonia,EE,EST,1324820,2020-W34,2020-08-16,2020-08-22,"TESSy COVID-19, national daily data",0.528373665856494,
Spain,ES,ESP,46937060,2020-W34,2020-08-16,2020-08-22,"TESSy COVID-19, national weekly data",6.24879359721295,0.556063801183969
Belgium,BE,BEL,11455519,2020-W34,2020-08-16,2020-08-22,"TESSy COVID-19, national weekly data",1.48400085583202,
Estonia,EE,EST,1324820,2020-W34,2020-08-16,2020-08-22,"TESSy COVID-19, national weekly data",,0.0
Sweden,SE,SWE,10230185,2020-W34,2020-08-16,2020-08-22,,,0.0781999543507767
Netherlands,NL,NLD,17282163,2020-W34,2020-08-16,2020-08-22,,,0.162016756814526
Ireland,IE,IRL,4904240,2020-W34,2020-08-16,2020-08-22,,0.346638826811086,0.040781038448363
Slovenia,SI,SVN,2080908,2020-W34,2020-08-16,2020-08-22,"TESSy COVID-19, national weekly data",0.240279724043543,
Portugal,PT,PRT,10276617,2020-W34,2020-08-16,2020-08-22,"TESSy COVID-19, national daily data",0.642234696495938,
Romania,RO,ROU,19414458,2020-W34,2020-08-16,2020-08-22,"TESSy COVID-19, national weekly data",39.7435766684808,
Latvia,LV,LVA,1919968,2020-W34,2020-08-16,2020-08-22,"TESSy COVID-19, national weekly data",0.260421007016784,0.0
France,FR,FRA,67012883,2020-W34,2020-08-16,2020-08-22,,,0.259651565804146
Cyprus,CY,CYP,875899,2020-W34,2020-08-16,2020-08-22,"TESSy COVID-19, national daily data",0.456673657579241,
Germany,DE,DEU,83019213,2020-W34,2020-08-16,2020-08-22,"TESSy COVID-19, national daily data",0.319203218657349,
Netherlands,NL,NLD,17282163,2020-W34,2020-08-16,2020-08-22,"TESSy COVID-19, national daily data",0.254597760708541,
Greece,EL,GRC,10724599,2020-W34,2020-08-16,2020-08-22,"TESSy COVID-19, national weekly data",,0.186487159100308
Denmark,DK,DNK,5806081,2020-W34,2020-08-16,2020-08-22,,0.585592932651129,
United Kingdom,UK,GBR,66647112,2020-W34,2020-08-16,2020-08-22,,1.01429751374673,
Croatia,HR,HRV,4076246,2020-W34,2020-08-16,2020-08-22,,2.40417285904727,
Czechia,CZ,CZE,10649800,2020-W34,2020-08-16,2020-08-22,"TESSy COVID-19, national weekly data",1.92491877781742,0.422543146350166
Germany,DE,DEU,83019213,2020-W33,2020-08-09,2020-08-15,"TESSy COVID-19, national daily data",0.368589377015655,
France,FR,FRA,67012883,2020-W33,2020-08-09,2020-08-15,,,0.191008048407647
Sweden,SE,SWE,10230185,2020-W33,2020-08-09,2020-08-15,,,0.127074925820012
Denmark,DK,DNK,5806081,2020-W33,2020-08-09,2020-08-15,,0.465029681811191,
Croatia,HR,HRV,4076246,2020-W33,2020-08-09,2020-08-15,,1.71726632789091,
United Kingdom,UK,GBR,66647112,2020-W33,2020-08-09,2020-08-15,,1.04880763625587,
Ireland,IE,IRL,4904240,2020-W33,2020-08-09,2020-08-15,,0.285467269138541,0.0
Slovenia,SI,SVN,2080908,2020-W33,2020-08-09,2020-08-15,"TESSy COVID-19, national weekly data",0.240279724043543,
Spain,ES,ESP,46937060,2020-W33,2020-08-09,2020-08-15,"TESSy COVID-19, national weekly data",4.92361473002357,0.426102529642888
Czechia,CZ,CZE,10649800,2020-W33,2020-08-09,2020-08-15,"TESSy COVID-19, national weekly data",1.82163045315405,0.347424364776803
Portugal,PT,PRT,10276617,2020-W33,2020-08-09,2020-08-15,"TESSy COVID-19, national daily data",0.583849724087217,
Belgium,BE,BEL,11455519,2020-W33,2020-08-09,2020-08-15,"TESSy COVID-19, national weekly data",2.1299776989589,
Romania,RO,ROU,19414458,2020-W33,2020-08-09,2020-08-15,"TESSy COVID-19, national weekly data",22.7768398170065,
Cyprus,CY,CYP,875899,2020-W33,2020-08-09,2020-08-15,"TESSy COVID-19, national daily data",0.228336828789621,
Estonia,EE,EST,1324820,2020-W33,2020-08-09,2020-08-15,"TESSy COVID-19, national weekly data",,0.0
Netherlands,NL,NLD,17282163,2020-W33,2020-08-09,2020-08-15,"TESSy COVID-19, national daily data",0.422400830266443,
Estonia,EE,EST,1324820,2020-W33,2020-08-09,2020-08-15,"TESSy COVID-19, national daily data",0.150963904530427,
Netherlands,NL,NLD,17282163,2020-W33,2020-08-09,2020-08-15,,,0.150444131327774
Greece,EL,GRC,10724599,2020-W33,2020-08-09,2020-08-15,"TESSy COVID-19, national weekly data",,0.111892295460185
Latvia,LV,LVA,1919968,2020-W33,2020-08-09,2020-08-15,"TESSy COVID-19, national weekly data",0.104168402806713,0.0
Czechia,CZ,CZE,10649800,2020-W32,2020-08-02,2020-08-08,"TESSy COVID-19, national weekly data",1.70895228079401,0.300475126293452
Netherlands,NL,NLD,17282163,2020-W32,2020-08-02,2020-08-08,,,0.0983673166373908
Spain,ES,ESP,46937060,2020-W32,2020-08-02,2020-08-08,"TESSy COVID-19, national weekly data",3.33212178180738,0.270575106323234
Romania,RO,ROU,19414458,2020-W32,2020-08-02,2020-08-08,"TESSy COVID-19, national weekly data",39.7332750674781,
Cyprus,CY,CYP,875899,2020-W32,2020-08-02,2020-08-08,"TESSy COVID-19, national daily data",0.456673657579241,0.11416841439481
Denmark,DK,DNK,5806081,2020-W32,2020-08-02,2020-08-08,,0.551146289554004,
Ireland,IE,IRL,4904240,2020-W32,2020-08-02,2020-08-08,,0.163124153793452,0.0203905192241815
Greece,EL,GRC,10724599,2020-W32,2020-08-02,2020-08-08,"TESSy COVID-19, national weekly data",,0.149189727280246
Croatia,HR,HRV,4076246,2020-W32,2020-08-02,2020-08-08,,1.57007207121454,
Sweden,SE,SWE,10230185,2020-W32,2020-08-02,2020-08-08,,,0.156399908701553
France,FR,FRA,67012883,2020-W32,2020-08-02,2020-08-08,,,0.182054546138539
Germany,DE,DEU,83019213,2020-W32,2020-08-02,2020-08-08,"TESSy COVID-19, national daily data",0.320407759105112,
United Kingdom,UK,GBR,66647112,2020-W32,2020-08-02,2020-08-08,,1.24536529054702,
Netherlands,NL,NLD,17282163,2020-W32,2020-08-02,2020-08-08,"TESSy COVID-19, national daily data",0.34139245185918,
Estonia,EE,EST,1324820,2020-W32,2020-08-02,2020-08-08,"TESSy COVID-19, national daily data",0.301927809060854,
Portugal,PT,PRT,10276617,2020-W32,2020-08-02,2020-08-08,"TESSy COVID-19, national daily data",0.788197127517743,
Belgium,BE,BEL,11455519,2020-W32,2020-08-02,2020-08-08,"TESSy COVID-19, national weekly data",1.64985977501325,
Estonia,EE,EST,1324820,2020-W32,2020-08-02,2020-08-08,"TESSy COVID-19, national weekly data",,0.0754819522652134
Latvia,LV,LVA,1919968,2020-W32,2020-08-02,2020-08-08,"TESSy COVID-19, national weekly data",0.260421007016784,0.0
Slovenia,SI,SVN,2080908,2020-W32,2020-08-02,2020-08-08,"TESSy COVID-19, national weekly data",0.384447558469668,
Cyprus,CY,CYP,875899,2020-W31,2020-07-26,2020-08-01,"TESSy COVID-19, national daily data",0.913347315158483,
Ireland,IE,IRL,4904240,2020-W31,2020-07-26,2020-08-01,,0.122343115345089,0.0203905192241815
Greece,EL,GRC,10724599,2020-W31,2020-07-26,2020-08-01,"TESSy COVID-19, national weekly data",,0.102567937505169
Croatia,HR,HRV,4076246,2020-W31,2020-07-26,2020-08-01,,1.86446058456727,
Estonia,EE,EST,1324820,2020-W31,2020-07-26,2020-08-01,"TESSy COVID-19, national daily data",0.150963904530427,
Sweden,SE,SWE,10230185,2020-W31,2020-07-26,2020-08-01,,,0.117299931526165
France,FR,FRA,67012883,2020-W31,2020-07-26,2020-08-01,,,0.156686289709398
Portugal,PT,PRT,10276617,2020-W31,2020-07-26,2020-08-01,"TESSy COVID-19, national daily data",0.768735470048169,
Belgium,BE,BEL,11455519,2020-W31,2020-07-26,2020-08-01,"TESSy COVID-19, national weekly data",1.466542022234,
Netherlands,NL,NLD,17282163,2020-W31,2020-07-26,2020-08-01,"TESSy COVID-19, national daily data",0.254597760708541,
Denmark,DK,DNK,5806081,2020-W31,2020-07-26,2020-08-01,,0.430583038714066,
Czechia,CZ,CZE,10649800,2020-W31,2020-07-26,2020-08-01,"TESSy COVID-19, national weekly data",1.63383349922064,0.281695430900111
Romania,RO,ROU,19414458,2020-W31,2020-07-26,2020-08-01,"TESSy COVID-19, national weekly data",38.3580113336154,
Estonia,EE,EST,1324820,2020-W31,2020-07-26,2020-08-01,"TESSy COVID-19, national weekly data",,0.0
Netherlands,NL,NLD,17282163,2020-W31,2020-07-26,2020-08-01,,,0.086794691150639
United Kingdom,UK,GBR,66647112,2020-W31,2020-07-26,2020-08-01,,1.25886925152886,
Latvia,LV,LVA,1919968,2020-W31,2020-07-26,2020-08-01,"TESSy COVID-19, national weekly data",0.104168402806713,0.0
Spain,ES,ESP,46937060,2020-W31,2020-07-26,2020-08-01,"TESSy COVID-19, national weekly data",2.36273852686981,0.204529214228586
Germany,DE,DEU,83019213,2020-W31,2020-07-26,2020-08-01,"TESSy COVID-19, national daily data",0.358953053433547,
Slovenia,SI,SVN,2080908,2020-W31,2020-07-26,2020-08-01,"TESSy COVID-19, national weekly data",0.384447558469668,
Netherlands,NL,NLD,17282163,2020-W30,2020-07-19,2020-07-25,,,0.0405041892036315
France,FR,FRA,67012883,2020-W30,2020-07-19,2020-07-25,,,0.126841282145703
Portugal,PT,PRT,10276617,2020-W30,2020-07-19,2020-07-25,"TESSy COVID-19, national daily data",0.778466298782956,
Greece,EL,GRC,10724599,2020-W30,2020-07-19,2020-07-25,"TESSy COVID-19, national weekly data",,0.0652705056851077
Czechia,CZ,CZE,10649800,2020-W30,2020-07-19,2020-07-25,"TESSy COVID-19, national weekly data",1.28640913444384,0.26291573550677
Sweden,SE,SWE,10230185,2020-W30,2020-07-19,2020-07-25,,,0.117299931526165
Belgium,BE,BEL,11455519,2020-W30,2020-07-19,2020-07-25,"TESSy COVID-19, national weekly data",1.08244768307748,
Estonia,EE,EST,1324820,2020-W30,2020-07-19,2020-07-25,"TESSy COVID-19, national daily data",0.0754819522652134,
Netherlands,NL,NLD,17282163,2020-W30,2020-07-19,2020-07-25,"TESSy COVID-19, national daily data",0.150444131327774,
United Kingdom,UK,GBR,66647112,2020-W30,2020-07-19,2020-07-25,,1.48993702832915,
Cyprus,CY,CYP,875899,2020-W30,2020-07-19,2020-07-25,"TESSy COVID-19, national daily data",0.11416841439481,
Spain,ES,ESP,46937060,2020-W30,2020-07-19,2020-07-25,"TESSy COVID-19, national weekly data",1.55101320790011,0.11504768300358
Denmark,DK,DNK,5806081,2020-W30,2020-07-19,2020-07-25,,0.32724310942269,
Latvia,LV,LVA,1919968,2020-W30,2020-07-19,2020-07-25,"TESSy COVID-19, national weekly data",0.0520842014033567,0.0
Slovenia,SI,SVN,2080908,2020-W30,2020-07-19,2020-07-25,"TESSy COVID-19, national weekly data",0.480559448087085,
Ireland,IE,IRL,4904240,2020-W30,2020-07-19,2020-07-25,,0.224295711465997,0.0611715576725446
Croatia,HR,HRV,4076246,2020-W30,2020-07-19,2020-07-25,,2.01165484124363,
Estonia,EE,EST,1324820,2020-W30,2020-07-19,2020-07-25,"TESSy COVID-19, national weekly data",,0.0
Germany,DE,DEU,83019213,2020-W30,2020-07-19,2020-07-25,"TESSy COVID-19, national daily data",0.332453163582748,
Romania,RO,ROU,19414458,2020-W30,2020-07-19,2020-07-25,"TESSy COVID-19, national weekly data",38.6670593636969,
Romania,RO,ROU,19414458,2020-W29,2020-07-12,2020-07-18,"TESSy COVID-19, national weekly data",,
Sweden,SE,SWE,10230185,2020-W29,2020-07-12,2020-07-18,,,0.136849920113859
Estonia,EE,EST,1324820,2020-W29,2020-07-12,2020-07-18,"TESSy COVID-19, national weekly data",,0.0754819522652134
Croatia,HR,HRV,4076246,2020-W29,2020-07-12,2020-07-18,,2.45323761127273,
Belgium,BE,BEL,11455519,2020-W29,2020-07-12,2020-07-18,"TESSy COVID-19, national weekly data",0.820565179107119,
United Kingdom,UK,GBR,66647112,2020-W29,2020-07-12,2020-07-18,,1.61447355738385,
Netherlands,NL,NLD,17282163,2020-W29,2020-07-12,2020-07-18,"TESSy COVID-19, national daily data",0.086794691150639,
Slovenia,SI,SVN,2080908,2020-W29,2020-07-12,2020-07-18,"TESSy COVID-19, national weekly data",0.288335668852251,
Portugal,PT,PRT,10276617,2020-W29,2020-07-12,2020-07-18,"TESSy COVID-19, national daily data",0.973082873478694,
Latvia,LV,LVA,1919968,2020-W29,2020-07-12,2020-07-18,"TESSy COVID-19, national weekly data",0.0520842014033567,0.0
Spain,ES,ESP,46937060,2020-W29,2020-07-12,2020-07-18,"TESSy COVID-19, national weekly data",0.960861204344712,0.0660458920946476
Ireland,IE,IRL,4904240,2020-W29,2020-07-12,2020-07-18,,0.183514673017634,0.040781038448363
Denmark,DK,DNK,5806081,2020-W29,2020-07-12,2020-07-18,,0.241126501679877,
Cyprus,CY,CYP,875899,2020-W29,2020-07-12,2020-07-18,"TESSy COVID-19, national daily data",0.11416841439481,
France,FR,FRA,67012883,2020-W29,2020-07-12,2020-07-18,,,0.123856781389334
Netherlands,NL,NLD,17282163,2020-W29,2020-07-12,2020-07-18,,,0.0173589382301278
Germany,DE,DEU,83019213,2020-W29,2020-07-12,2020-07-18,"TESSy COVID-19, national daily data",0.296316950149841,
Greece,EL,GRC,10724599,2020-W29,2020-07-12,2020-07-18,"TESSy COVID-19, national weekly data",,0.0186487159100308
Czechia,CZ,CZE,10649800,2020-W29,2020-07-12,2020-07-18,"TESSy COVID-19, national weekly data",1.04227309433041,0.244136040113429
Germany,DE,DEU,83019213,2020-W28,2020-07-05,2020-07-11,"TESSy COVID-19, national daily data",0.261385277164697,
Croatia,HR,HRV,4076246,2020-W28,2020-07-05,2020-07-11,,2.33057573070909,
Slovenia,SI,SVN,2080908,2020-W28,2020-07-05,2020-07-11,"TESSy COVID-19, national weekly data",0.384447558469668,
Sweden,SE,SWE,10230185,2020-W28,2020-07-05,2020-07-11,,,0.136849920113859
United Kingdom,UK,GBR,66647112,2020-W28,2020-07-05,2020-07-11,,1.95357302203882,
Belgium,BE,BEL,11455519,2020-W28,2020-07-05,2020-07-11,"TESSy COVID-19, national weekly data",0.567412091935774,
France,FR,FRA,67012883,2020-W28,2020-07-05,2020-07-11,,,0.11639552949841
Greece,EL,GRC,10724599,2020-W28,2020-07-05,2020-07-11,"TESSy COVID-19, national weekly data",,0.0372974318200615
Netherlands,NL,NLD,17282163,2020-W28,2020-07-05,2020-07-11,"TESSy COVID-19, national daily data",0.0520768146903834,
Denmark,DK,DNK,5806081,2020-W28,2020-07-05,2020-07-11,,0.275573144777002,
Latvia,LV,LVA,1919968,2020-W28,2020-07-05,2020-07-11,"TESSy COVID-19, national weekly data",0.0520842014033567,0.0
Estonia,EE,EST,1324820,2020-W28,2020-07-05,2020-07-11,"TESSy COVID-19, national weekly data",,0.150963904530427
Ireland,IE,IRL,4904240,2020-W28,2020-07-05,2020-07-11,,0.0815620768967261,0.0203905192241815
