country,country_code,country_code_2_digit,country_code_3_digit,cases_Count,deaths_Count,population,source,reported_date
France,FRA,FR,FRA,0,0,67012883,"Epidemic intelligence, national daily data",2020-01-12
France,FRA,FR,FRA,1955,15,67012883,"Epidemic intelligence, national daily data",2020-08-25
Jersey,JEY,JE,JEY,2,0,107796,"Epidemic intelligence, national daily data",2020-09-05
Malta,MLT,MT,MLT,0,0,493559,"Epidemic intelligence, national daily data",2020-02-15
Hungary,HUN,HU,HUN,39,1,9772756,"Epidemic intelligence, national daily data",2020-08-17
Isle of Man,IMN,,,0,0,85032,"Epidemic intelligence, national daily data",2020-01-02
Kosovo,RKS,,,169,9,1798506,"Epidemic intelligence, national daily data",2020-08-23
Malta,MLT,MT,MLT,0,0,493559,"Epidemic intelligence, national daily data",2020-01-04
France,FRA,FR,FRA,0,0,67012883,"Epidemic intelligence, national daily data",2020-02-24
Isle of Man,IMN,,,0,0,85032,"Epidemic intelligence, national daily data",2020-06-24
Slovakia,SVK,SK,SVK,0,0,5450421,"Epidemic intelligence, national daily data",2020-01-24
North Macedonia,MKD,MK,MKD,13,2,2077132,"Epidemic intelligence, national daily data",2020-05-07
Ukraine,UKR,UA,UKR,4571,92,43733759,"Epidemic intelligence, national daily data",2020-10-04
Serbia,SRB,RS,SRB,0,0,6963764,"Epidemic intelligence, national daily data",2020-02-25
San Marino,SMR,SM,SMR,0,0,34453,"Epidemic intelligence, national daily data",2020-02-20
Slovenia,SVN,SI,SVN,399,3,2080908,"Epidemic intelligence, national daily data",2020-10-14
Switzerland,CHE,CH,CHE,1271,13,8544527,"Epidemic intelligence, national daily data",2020-03-22
Spain,ESP,ES,ESP,31428,168,46937060,"Epidemic intelligence, national daily data",2020-09-21
United Kingdom,GBR,UK,GBR,891,14,66647112,"Epidemic intelligence, national daily data",2020-08-06
Sweden,SWE,SE,SWE,314,4,10230185,"Epidemic intelligence, national daily data",2020-08-19
Poland,POL,PL,POL,418,9,37972812,"Epidemic intelligence, national daily data",2020-07-24
Romania,ROU,RO,ROU,1151,33,19414458,"Epidemic intelligence, national daily data",2020-07-29
Slovenia,SVN,SI,SVN,0,0,2080908,"Epidemic intelligence, national daily data",2020-01-26
San Marino,SMR,SM,SMR,0,0,34453,"Epidemic intelligence, national daily data",2020-01-23
Ukraine,UKR,UA,UKR,0,0,43733759,"Epidemic intelligence, national daily data",2020-01-05
Switzerland,CHE,CH,CHE,35,7,8544527,"Epidemic intelligence, national daily data",2020-05-29
San Marino,SMR,SM,SMR,2,2,34453,"Epidemic intelligence, national daily data",2020-03-18
Slovakia,SVK,SK,SVK,12,1,5450421,"Epidemic intelligence, national daily data",2020-04-21
Russia,RUS,RU,RUS,3448,34,145934460,"Epidemic intelligence, national daily data",2020-04-17
Russia,RUS,RU,RUS,6428,167,145934460,"Epidemic intelligence, national daily data",2020-07-17
Serbia,SRB,RS,SRB,227,2,6963764,"Epidemic intelligence, national daily data",2020-06-28
United Kingdom,GBR,UK,GBR,3579,657,66647112,"Epidemic intelligence, national daily data",2020-04-13
Sweden,SWE,SE,SWE,1309,25,10230185,"Epidemic intelligence, national daily data",2020-06-24
Armenia,ARM,AM,ARM,0,0,2963234,"Epidemic intelligence, national daily data",2020-02-03
Croatia,HRV,HR,HRV,0,0,4076246,"Epidemic intelligence, national daily data",2020-02-13
Cyprus,CYP,CY,CYP,0,0,875899,"Epidemic intelligence, national daily data",2020-01-15
Belgium,BEL,BE,BEL,0,0,11455519,"Epidemic intelligence, national daily data",2020-02-06
Denmark,DNK,DK,DNK,0,0,5806081,"Epidemic intelligence, national daily data",2020-02-25
Cyprus,CYP,CY,CYP,7,0,875899,"Epidemic intelligence, national daily data",2020-08-27
Bosnia and Herzegovina,BIH,BA,BIH,0,0,3280815,"Epidemic intelligence, national daily data",2020-02-06
Croatia,HRV,HR,HRV,542,1,4076246,"Epidemic intelligence, national daily data",2020-10-09
Belarus,BLR,BY,BLR,105,4,9449321,"Epidemic intelligence, national daily data",2020-08-15
Czechia,CZE,CZ,CZE,208,0,10649800,"Epidemic intelligence, national daily data",2020-08-04
Denmark,DNK,DK,DNK,109,0,5806081,"Epidemic intelligence, national daily data",2020-07-28
Bulgaria,BGR,BG,BGR,3,1,7000039,"Epidemic intelligence, national daily data",2020-03-12
Azerbaijan,AZE,AZ,AZE,369,9,10139175,"Epidemic intelligence, national daily data",2020-07-21
Armenia,ARM,AM,ARM,195,11,2963234,"Epidemic intelligence, national daily data",2020-06-08
Estonia,EST,EE,EST,7,0,1324820,"Epidemic intelligence, national daily data",2020-08-13
Albania,ALB,AL,ALB,18,0,2862427,"Epidemic intelligence, national daily data",2020-05-16
Croatia,HRV,HR,HRV,358,0,4076246,"Epidemic intelligence, national daily data",2020-08-27
Croatia,HRV,HR,HRV,30,0,4076246,"Epidemic intelligence, national daily data",2020-06-24
Cyprus,CYP,CY,CYP,3,0,875899,"Epidemic intelligence, national daily data",2020-09-12
Belgium,BEL,BE,BEL,130,3,11455519,"Epidemic intelligence, national daily data",2020-07-19
Czechia,CZE,CZ,CZE,0,0,10649800,"Epidemic intelligence, national daily data",2020-01-08
Netherlands,NLD,NL,NLD,200,53,17282163,"Epidemic intelligence, national daily data",2020-05-16
Finland,FIN,FI,FIN,101,1,5517919,"Epidemic intelligence, national daily data",2020-10-03
Latvia,LVA,LV,LVA,0,0,1919968,"Epidemic intelligence, national daily data",2020-02-16
Greece,GRC,EL,GRC,243,2,10724599,"Epidemic intelligence, national daily data",2020-08-23
Iceland,ISL,IS,ISL,1,0,356991,"Epidemic intelligence, national daily data",2020-09-13
Italy,ITA,IT,ITA,5249,743,60359546,"Epidemic intelligence, national daily data",2020-03-25
Luxembourg,LUX,LU,LUX,67,0,613894,"Epidemic intelligence, national daily data",2020-08-20
Guernsey,GGY,GG,GGY,0,0,64468,"Epidemic intelligence, national daily data",2020-06-26
Latvia,LVA,LV,LVA,0,0,1919968,"Epidemic intelligence, national daily data",2020-07-29
Netherlands,NLD,NL,NLD,2351,5,17282163,"Epidemic intelligence, national daily data",2020-09-24
Germany,DEU,DE,DEU,353,62,83019213,"Epidemic intelligence, national daily data",2020-05-28
Guernsey,GGY,GG,GGY,0,0,64468,"Epidemic intelligence, national daily data",2020-01-05
Malta,MLT,MT,MLT,15,0,493559,"Epidemic intelligence, national daily data",2020-03-26
Malta,MLT,MT,MLT,0,0,493559,"Epidemic intelligence, national daily data",2020-07-22
Guernsey,GGY,GG,GGY,0,0,64468,"Epidemic intelligence, national daily data",2020-05-03
Lithuania,LTU,LT,LTU,81,5,2794184,"Epidemic intelligence, national daily data",2020-10-07
Lithuania,LTU,LT,LTU,5,2,2794184,"Epidemic intelligence, national daily data",2020-05-07
Italy,ITA,IT,ITA,1494,16,60359546,"Epidemic intelligence, national daily data",2020-09-29
Lithuania,LTU,LT,LTU,0,0,2794184,"Epidemic intelligence, national daily data",2020-02-15
Lithuania,LTU,LT,LTU,0,0,2794184,"Epidemic intelligence, national daily data",2020-02-04
Greece,GRC,EL,GRC,8,0,10724599,"Epidemic intelligence, national daily data",2020-07-06
Malta,MLT,MT,MLT,0,0,493559,"Epidemic intelligence, national daily data",2020-07-15
Finland,FIN,FI,FIN,76,8,5517919,"Epidemic intelligence, national daily data",2020-04-16
Finland,FIN,FI,FIN,50,2,5517919,"Epidemic intelligence, national daily data",2020-05-31
Montenegro,MNE,ME,MNE,47,0,622182,"Epidemic intelligence, national daily data",2020-08-19
Montenegro,MNE,ME,MNE,66,3,622182,"Epidemic intelligence, national daily data",2020-07-08
Netherlands,NLD,NL,NLD,507,2,17282163,"Epidemic intelligence, national daily data",2020-08-29
France,FRA,FR,FRA,2599,292,67012883,"Epidemic intelligence, national daily data",2020-03-30
Montenegro,MNE,ME,MNE,0,0,622182,"Epidemic intelligence, national daily data",2020-02-01
Isle of Man,IMN,,,0,0,85032,"Epidemic intelligence, national daily data",2020-09-10
Liechtenstein,LIE,LI,LIE,0,0,38378,"Epidemic intelligence, national daily data",2020-08-22
Georgia,GEO,GE,GEO,15,0,3989175,"Epidemic intelligence, national daily data",2020-04-09
Ireland,IRL,IE,IRL,23,0,4904240,"Epidemic intelligence, national daily data",2020-06-30
Faroes,FRO,,,0,0,48865,"Epidemic intelligence, national daily data",2020-08-19
Netherlands,NLD,NL,NLD,190,15,17282163,"Epidemic intelligence, national daily data",2020-05-28
Serbia,SRB,RS,SRB,173,1,6963764,"Epidemic intelligence, national daily data",2020-10-10
Turkey,TUR,TR,TUR,1041,22,82003882,"Epidemic intelligence, national daily data",2020-07-09
Spain,ESP,ES,ESP,0,0,46937060,"Epidemic intelligence, national daily data",2020-02-14
Switzerland,CHE,CH,CHE,0,0,8544527,"Epidemic intelligence, national daily data",2020-01-02
Serbia,SRB,RS,SRB,289,6,6963764,"Epidemic intelligence, national daily data",2020-07-07
United Kingdom,GBR,UK,GBR,361,14,66647112,"Epidemic intelligence, national daily data",2020-03-16
Slovenia,SVN,SI,SVN,411,1,2080908,"Epidemic intelligence, national daily data",2020-10-12
Poland,POL,PL,POL,9622,84,37972812,"Epidemic intelligence, national daily data",2020-10-18
Norway,NOR,NO,NOR,40,0,5328212,"Epidemic intelligence, national daily data",2020-06-30
San Marino,SMR,SM,SMR,1,0,34453,"Epidemic intelligence, national daily data",2020-06-10
Slovenia,SVN,SI,SVN,99,0,2080908,"Epidemic intelligence, national daily data",2020-09-14
United Kingdom,GBR,UK,GBR,1041,6,66647112,"Epidemic intelligence, national daily data",2020-08-24
Russia,RUS,RU,RUS,15971,290,145934460,"Epidemic intelligence, national daily data",2020-10-23
Slovakia,SVK,SK,SVK,0,0,5450421,"Epidemic intelligence, national daily data",2020-01-27
San Marino,SMR,SM,SMR,0,0,34453,"Epidemic intelligence, national daily data",2020-01-16
Norway,NOR,NO,NOR,183,0,5328212,"Epidemic intelligence, national daily data",2020-10-17
Poland,POL,PL,POL,257,7,37972812,"Epidemic intelligence, national daily data",2020-07-08
Romania,ROU,RO,ROU,4016,66,19414458,"Epidemic intelligence, national daily data",2020-10-15
Turkey,TUR,TR,TUR,1053,19,82003882,"Epidemic intelligence, national daily data",2020-07-08
Slovenia,SVN,SI,SVN,0,0,2080908,"Epidemic intelligence, national daily data",2020-02-06
Slovakia,SVK,SK,SVK,0,0,5450421,"Epidemic intelligence, national daily data",2020-01-28
Turkey,TUR,TR,TUR,1635,55,82003882,"Epidemic intelligence, national daily data",2020-05-15
Ukraine,UKR,UA,UKR,2462,33,43733759,"Epidemic intelligence, national daily data",2020-09-15
Sweden,SWE,SE,SWE,0,0,10230185,"Epidemic intelligence, national daily data",2020-02-18
North Macedonia,MKD,MK,MKD,233,6,2077132,"Epidemic intelligence, national daily data",2020-08-22
Poland,POL,PL,POL,443,7,37972812,"Epidemic intelligence, national daily data",2020-07-27
Turkey,TUR,TR,TUR,1203,22,82003882,"Epidemic intelligence, national daily data",2020-08-22
Turkey,TUR,TR,TUR,1546,50,82003882,"Epidemic intelligence, national daily data",2020-05-10
Russia,RUS,RU,RUS,0,0,145934460,"Epidemic intelligence, national daily data",2020-01-08
Switzerland,CHE,CH,CHE,7,0,8544527,"Epidemic intelligence, national daily data",2020-06-09
Switzerland,CHE,CH,CHE,65,0,8544527,"Epidemic intelligence, national daily data",2020-07-28
North Macedonia,MKD,MK,MKD,239,4,2077132,"Epidemic intelligence, national daily data",2020-10-04
United Kingdom,GBR,UK,GBR,0,0,66647112,"Epidemic intelligence, national daily data",2020-01-12
Turkey,TUR,TR,TUR,1703,57,82003882,"Epidemic intelligence, national daily data",2020-09-08
Armenia,ARM,AM,ARM,197,3,2963234,"Epidemic intelligence, national daily data",2020-09-03
Austria,AUT,AT,AUT,901,1,8858775,"Epidemic intelligence, national daily data",2020-10-11
Belgium,BEL,BE,BEL,0,0,11455519,"Epidemic intelligence, national daily data",2020-02-28
Czechia,CZE,CZ,CZE,0,0,10649800,"Epidemic intelligence, national daily data",2020-01-04
Bulgaria,BGR,BG,BGR,16,0,7000039,"Epidemic intelligence, national daily data",2020-03-13
Czechia,CZE,CZ,CZE,0,0,10649800,"Epidemic intelligence, national daily data",2020-01-16
Denmark,DNK,DK,DNK,331,15,5806081,"Epidemic intelligence, national daily data",2020-04-09
Belgium,BEL,BE,BEL,145,12,11455519,"Epidemic intelligence, national daily data",2020-06-10
Estonia,EST,EE,EST,0,0,1324820,"Epidemic intelligence, national daily data",2020-01-25
Cyprus,CYP,CY,CYP,1,0,875899,"Epidemic intelligence, national daily data",2020-07-06
Albania,ALB,AL,ALB,4,1,2862427,"Epidemic intelligence, national daily data",2020-03-19
Croatia,HRV,HR,HRV,0,0,4076246,"Epidemic intelligence, national daily data",2020-02-17
Estonia,EST,EE,EST,34,0,1324820,"Epidemic intelligence, national daily data",2020-03-17
Cyprus,CYP,CY,CYP,3,0,875899,"Epidemic intelligence, national daily data",2020-09-14
Andorra,AND,AD,AND,0,0,76177,"Epidemic intelligence, national daily data",2020-01-11
Cyprus,CYP,CY,CYP,22,0,875899,"Epidemic intelligence, national daily data",2020-10-04
Denmark,DNK,DK,DNK,17,0,5806081,"Epidemic intelligence, national daily data",2020-07-01
Belgium,BEL,BE,BEL,13126,35,11455519,"Epidemic intelligence, national daily data",2020-10-17
Andorra,AND,AD,AND,0,0,76177,"Epidemic intelligence, national daily data",2020-01-13
Cyprus,CYP,CY,CYP,0,0,875899,"Epidemic intelligence, national daily data",2020-02-28
Belgium,BEL,BE,BEL,317,37,11455519,"Epidemic intelligence, national daily data",2020-05-19
Estonia,EST,EE,EST,0,0,1324820,"Epidemic intelligence, national daily data",2020-01-28
Georgia,GEO,GE,GEO,11,1,3989175,"Epidemic intelligence, national daily data",2020-07-21
Greece,GRC,EL,GRC,15,0,10724599,"Epidemic intelligence, national daily data",2020-06-06
Finland,FIN,FI,FIN,19,1,5517919,"Epidemic intelligence, national daily data",2020-05-20
Finland,FIN,FI,FIN,0,0,5517919,"Epidemic intelligence, national daily data",2020-01-07
Malta,MLT,MT,MLT,47,0,493559,"Epidemic intelligence, national daily data",2020-08-20
Italy,ITA,IT,ITA,1797,98,60359546,"Epidemic intelligence, national daily data",2020-03-10
Germany,DEU,DE,DEU,1045,7,83019213,"Epidemic intelligence, national daily data",2020-08-06
Lithuania,LTU,LT,LTU,38,0,2794184,"Epidemic intelligence, national daily data",2020-08-19
Moldova,MDA,MD,MDA,378,7,4033963,"Epidemic intelligence, national daily data",2020-07-25
Netherlands,NLD,NL,NLD,86,10,17282163,"Epidemic intelligence, national daily data",2020-06-04
Italy,ITA,IT,ITA,2646,464,60359546,"Epidemic intelligence, national daily data",2020-04-24
Greece,GRC,EL,GRC,27,1,10724599,"Epidemic intelligence, national daily data",2020-07-27
Guernsey,GGY,GG,GGY,0,0,64468,"Epidemic intelligence, national daily data",2020-05-28
Hungary,HUN,HU,HUN,0,0,9772756,"Epidemic intelligence, national daily data",2020-02-15
Montenegro,MNE,ME,MNE,146,0,622182,"Epidemic intelligence, national daily data",2020-09-04
Guernsey,GGY,GG,GGY,0,0,64468,"Epidemic intelligence, national daily data",2020-07-27
Hungary,HUN,HU,HUN,11,4,9772756,"Epidemic intelligence, national daily data",2020-04-06
Jersey,JEY,JE,JEY,0,0,107796,"Epidemic intelligence, national daily data",2020-02-01
Finland,FIN,FI,FIN,6,0,5517919,"Epidemic intelligence, national daily data",2020-07-29
Germany,DEU,DE,DEU,2,0,83019213,"Epidemic intelligence, national daily data",2020-02-26
Georgia,GEO,GE,GEO,8,0,3989175,"Epidemic intelligence, national daily data",2020-07-03
Montenegro,MNE,ME,MNE,0,0,622182,"Epidemic intelligence, national daily data",2020-06-03
Finland,FIN,FI,FIN,0,0,5517919,"Epidemic intelligence, national daily data",2020-01-23
Germany,DEU,DE,DEU,2,0,83019213,"Epidemic intelligence, national daily data",2020-02-12
Liechtenstein,LIE,LI,LIE,0,0,38378,"Epidemic intelligence, national daily data",2020-09-09
Malta,MLT,MT,MLT,31,0,493559,"Epidemic intelligence, national daily data",2020-08-15
France,FRA,FR,FRA,621,14,67012883,"Epidemic intelligence, national daily data",2020-07-10
Hungary,HUN,HU,HUN,116,0,9772756,"Epidemic intelligence, national daily data",2020-04-23
Kosovo,RKS,,,111,10,1798506,"Epidemic intelligence, national daily data",2020-08-24
Monaco,MCO,MC,MCO,0,0,33085,"Epidemic intelligence, national daily data",2020-01-26
Spain,ESP,ES,ESP,31785,179,46937060,"Epidemic intelligence, national daily data",2020-09-28
Russia,RUS,RU,RUS,6109,95,145934460,"Epidemic intelligence, national daily data",2020-07-20
North Macedonia,MKD,MK,MKD,0,0,2077132,"Epidemic intelligence, national daily data",2020-01-05
San Marino,SMR,SM,SMR,0,0,34453,"Epidemic intelligence, national daily data",2020-01-28
Slovenia,SVN,SI,SVN,0,0,2080908,"Epidemic intelligence, national daily data",2020-02-07
Russia,RUS,RU,RUS,5394,79,145934460,"Epidemic intelligence, national daily data",2020-08-04
Sweden,SWE,SE,SWE,0,0,10230185,"Epidemic intelligence, national daily data",2020-02-06
Russia,RUS,RU,RUS,0,0,145934460,"Epidemic intelligence, national daily data",2020-01-21
Norway,NOR,NO,NOR,122,0,5328212,"Epidemic intelligence, national daily data",2020-09-16
Switzerland,CHE,CH,CHE,117,1,8544527,"Epidemic intelligence, national daily data",2020-07-24
Spain,ESP,ES,ESP,5446,235,46937060,"Epidemic intelligence, national daily data",2020-03-21
Sweden,SWE,SE,SWE,1039,43,10230185,"Epidemic intelligence, national daily data",2020-06-05
Sweden,SWE,SE,SWE,0,0,10230185,"Epidemic intelligence, national daily data",2020-01-03
Slovakia,SVK,SK,SVK,101,0,5450421,"Epidemic intelligence, national daily data",2020-04-09
Turkey,TUR,TR,TUR,1527,57,82003882,"Epidemic intelligence, national daily data",2020-09-14
Serbia,SRB,RS,SRB,424,5,6963764,"Epidemic intelligence, national daily data",2020-04-14
Ukraine,UKR,UA,UKR,5863,129,43733759,"Epidemic intelligence, national daily data",2020-09-16
Spain,ESP,ES,ESP,7117,52,46937060,"Epidemic intelligence, national daily data",2020-08-25
Slovenia,SVN,SI,SVN,0,0,2080908,"Epidemic intelligence, national daily data",2020-02-04
Estonia,EST,EE,EST,1,0,1324820,"Epidemic intelligence, national daily data",2020-07-19
Azerbaijan,AZE,AZ,AZE,0,0,10139175,"Epidemic intelligence, national daily data",2020-01-25
Denmark,DNK,DK,DNK,451,1,5806081,"Epidemic intelligence, national daily data",2020-10-19
Denmark,DNK,DK,DNK,136,2,5806081,"Epidemic intelligence, national daily data",2020-06-23
Bosnia and Herzegovina,BIH,BA,BIH,0,0,3280815,"Epidemic intelligence, national daily data",2020-01-30
Bulgaria,BGR,BG,BGR,0,0,7000039,"Epidemic intelligence, national daily data",2020-01-30
Armenia,ARM,AM,ARM,0,0,2963234,"Epidemic intelligence, national daily data",2020-02-20
Austria,AUT,AT,AUT,0,0,8858775,"Epidemic intelligence, national daily data",2020-01-20
Estonia,EST,EE,EST,0,0,1324820,"Epidemic intelligence, national daily data",2020-07-29
Belarus,BLR,BY,BLR,9,0,9449321,"Epidemic intelligence, national daily data",2020-03-17
Bulgaria,BGR,BG,BGR,0,0,7000039,"Epidemic intelligence, national daily data",2020-02-15
Armenia,ARM,AM,ARM,736,6,2963234,"Epidemic intelligence, national daily data",2020-06-28
Armenia,ARM,AM,ARM,196,6,2963234,"Epidemic intelligence, national daily data",2020-08-05
Belarus,BLR,BY,BLR,352,3,9449321,"Epidemic intelligence, national daily data",2020-04-13
Cyprus,CYP,CY,CYP,1,0,875899,"Epidemic intelligence, national daily data",2020-05-20
Bosnia and Herzegovina,BIH,BA,BIH,68,4,3280815,"Epidemic intelligence, national daily data",2020-05-01
Cyprus,CYP,CY,CYP,3,0,875899,"Epidemic intelligence, national daily data",2020-09-22
Croatia,HRV,HR,HRV,7,2,4076246,"Epidemic intelligence, national daily data",2020-05-07
Jersey,JEY,JE,JEY,0,0,107796,"Epidemic intelligence, national daily data",2020-08-02
Latvia,LVA,LV,LVA,8,0,1919968,"Epidemic intelligence, national daily data",2020-09-02
Netherlands,NLD,NL,NLD,500,4,17282163,"Epidemic intelligence, national daily data",2020-08-30
Gibraltar,GIB,GI,GIB,0,0,33691,"Epidemic intelligence, national daily data",2020-01-03
France,FRA,FR,FRA,726,28,67012883,"Epidemic intelligence, national daily data",2020-06-13
Faroes,FRO,,,0,0,48865,"Epidemic intelligence, national daily data",2020-01-09
Latvia,LVA,LV,LVA,29,0,1919968,"Epidemic intelligence, national daily data",2020-04-09
Netherlands,NLD,NL,NLD,199,26,17282163,"Epidemic intelligence, national daily data",2020-05-05
Faroes,FRO,,,4,0,48865,"Epidemic intelligence, national daily data",2020-10-01
Monaco,MCO,MC,MCO,7,0,33085,"Epidemic intelligence, national daily data",2020-09-01
Jersey,JEY,JE,JEY,0,0,107796,"Epidemic intelligence, national daily data",2020-03-26
Kosovo,RKS,,,0,0,1798506,"Epidemic intelligence, national daily data",2020-01-28
Latvia,LVA,LV,LVA,74,0,1919968,"Epidemic intelligence, national daily data",2020-10-04
Hungary,HUN,HU,HUN,78,11,9772756,"Epidemic intelligence, national daily data",2020-04-08
Lithuania,LTU,LT,LTU,45,0,2794184,"Epidemic intelligence, national daily data",2020-09-23
Faroes,FRO,,,22,0,48865,"Epidemic intelligence, national daily data",2020-08-11
Montenegro,MNE,ME,MNE,0,0,622182,"Epidemic intelligence, national daily data",2020-02-10
Kosovo,RKS,,,0,0,1798506,"Epidemic intelligence, national daily data",2020-03-02
Faroes,FRO,,,0,0,48865,"Epidemic intelligence, national daily data",2020-06-29
Germany,DEU,DE,DEU,1192,3,83019213,"Epidemic intelligence, national daily data",2020-09-28
Iceland,ISL,IS,ISL,92,0,356991,"Epidemic intelligence, national daily data",2020-10-21
Luxembourg,LUX,LU,LUX,0,0,613894,"Epidemic intelligence, national daily data",2020-01-27
France,FRA,FR,FRA,32427,89,67012883,"Epidemic intelligence, national daily data",2020-10-18
France,FRA,FR,FRA,8550,12,67012883,"Epidemic intelligence, national daily data",2020-09-06
Montenegro,MNE,ME,MNE,1,0,622182,"Epidemic intelligence, national daily data",2020-04-30
Liechtenstein,LIE,LI,LIE,0,0,38378,"Epidemic intelligence, national daily data",2020-06-23
Montenegro,MNE,ME,MNE,47,1,622182,"Epidemic intelligence, national daily data",2020-07-01
Jersey,JEY,JE,JEY,0,0,107796,"Epidemic intelligence, national daily data",2020-01-20
Liechtenstein,LIE,LI,LIE,0,0,38378,"Epidemic intelligence, national daily data",2020-04-20
Greece,GRC,EL,GRC,4,1,10724599,"Epidemic intelligence, national daily data",2020-05-26
Kosovo,RKS,,,6,0,1798506,"Epidemic intelligence, national daily data",2020-03-28
Ireland,IRL,IE,IRL,362,1,4904240,"Epidemic intelligence, national daily data",2020-09-30
Kosovo,RKS,,,0,0,1798506,"Epidemic intelligence, national daily data",2020-02-06
France,FRA,FR,FRA,794,166,67012883,"Epidemic intelligence, national daily data",2020-05-03
Iceland,ISL,IS,ISL,0,0,356991,"Epidemic intelligence, national daily data",2020-01-12
Latvia,LVA,LV,LVA,40,1,1919968,"Epidemic intelligence, national daily data",2020-10-06
Faroes,FRO,,,0,0,48865,"Epidemic intelligence, national daily data",2020-05-02
Kosovo,RKS,,,118,5,1798506,"Epidemic intelligence, national daily data",2020-07-20
Portugal,PRT,PT,PRT,1876,15,10276617,"Epidemic intelligence, national daily data",2020-10-21
Norway,NOR,NO,NOR,0,0,5328212,"Epidemic intelligence, national daily data",2020-01-14
Norway,NOR,NO,NOR,25,0,5328212,"Epidemic intelligence, national daily data",2020-06-16
Slovenia,SVN,SI,SVN,1,0,2080908,"Epidemic intelligence, national daily data",2020-05-25
United Kingdom,GBR,UK,GBR,0,0,66647112,"Epidemic intelligence, national daily data",2020-02-06
Norway,NOR,NO,NOR,302,6,5328212,"Epidemic intelligence, national daily data",2020-04-05
United Kingdom,GBR,UK,GBR,569,9,66647112,"Epidemic intelligence, national daily data",2020-07-19
Portugal,PRT,PT,PRT,0,0,10276617,"Epidemic intelligence, national daily data",2020-02-09
Poland,POL,PL,POL,231,5,37972812,"Epidemic intelligence, national daily data",2020-07-06
Spain,ESP,ES,ESP,466,50,46937060,"Epidemic intelligence, national daily data",2020-05-23
Romania,ROU,RO,ROU,3400,65,19414458,"Epidemic intelligence, national daily data",2020-10-21
Serbia,SRB,RS,SRB,6,0,6963764,"Epidemic intelligence, national daily data",2020-03-13
Romania,ROU,RO,ROU,767,17,19414458,"Epidemic intelligence, national daily data",2020-07-20
the Holy See/ Vatican City State,VAT,VA,VAT,0,0,809,"Epidemic intelligence, national daily data",2020-01-31
Portugal,PRT,PT,PRT,514,32,10276617,"Epidemic intelligence, national daily data",2020-04-15
Portugal,PRT,PT,PRT,1856,19,10276617,"Epidemic intelligence, national daily data",2020-10-19
United Kingdom,GBR,UK,GBR,685,26,66647112,"Epidemic intelligence, national daily data",2020-07-16
Portugal,PRT,PT,PRT,0,0,10276617,"Epidemic intelligence, national daily data",2020-03-01
Romania,ROU,RO,ROU,196,15,19414458,"Epidemic intelligence, national daily data",2020-05-21
San Marino,SMR,SM,SMR,0,0,34453,"Epidemic intelligence, national daily data",2020-07-19
North Macedonia,MKD,MK,MKD,140,6,2077132,"Epidemic intelligence, national daily data",2020-09-20
Poland,POL,PL,POL,70,0,37972812,"Epidemic intelligence, national daily data",2020-03-21
Spain,ESP,ES,ESP,0,0,46937060,"Epidemic intelligence, national daily data",2020-01-14
San Marino,SMR,SM,SMR,13,0,34453,"Epidemic intelligence, national daily data",2020-04-24
Spain,ESP,ES,ESP,466,164,46937060,"Epidemic intelligence, national daily data",2020-05-04
Armenia,ARM,AM,ARM,30,0,2963234,"Epidemic intelligence, national daily data",2020-03-25
Denmark,DNK,DK,DNK,64,0,5806081,"Epidemic intelligence, national daily data",2020-08-01
Armenia,ARM,AM,ARM,0,0,2963234,"Epidemic intelligence, national daily data",2020-03-11
Denmark,DNK,DK,DNK,1,0,5806081,"Epidemic intelligence, national daily data",2020-02-29
Albania,ALB,AL,ALB,9,1,2862427,"Epidemic intelligence, national daily data",2020-04-10
Armenia,ARM,AM,ARM,158,6,2963234,"Epidemic intelligence, national daily data",2020-08-22
Bosnia and Herzegovina,BIH,BA,BIH,55,0,3280815,"Epidemic intelligence, national daily data",2020-06-12
Denmark,DNK,DK,DNK,0,0,5806081,"Epidemic intelligence, national daily data",2020-07-12
Cyprus,CYP,CY,CYP,4,0,875899,"Epidemic intelligence, national daily data",2020-06-08
Cyprus,CYP,CY,CYP,0,0,875899,"Epidemic intelligence, national daily data",2020-02-13
Albania,ALB,AL,ALB,168,4,2862427,"Epidemic intelligence, national daily data",2020-08-27
Belgium,BEL,BE,BEL,248,41,11455519,"Epidemic intelligence, national daily data",2020-05-23
Albania,ALB,AL,ALB,306,4,2862427,"Epidemic intelligence, national daily data",2020-10-24
Cyprus,CYP,CY,CYP,3,0,875899,"Epidemic intelligence, national daily data",2020-09-13
Albania,ALB,AL,ALB,139,6,2862427,"Epidemic intelligence, national daily data",2020-08-06
Estonia,EST,EE,EST,0,0,1324820,"Epidemic intelligence, national daily data",2020-07-02
Azerbaijan,AZE,AZ,AZE,87,2,10139175,"Epidemic intelligence, national daily data",2020-08-10
Czechia,CZE,CZ,CZE,3796,21,10649800,"Epidemic intelligence, national daily data",2020-10-03
Cyprus,CYP,CY,CYP,0,0,875899,"Epidemic intelligence, national daily data",2020-01-20
Czechia,CZE,CZ,CZE,51,2,10649800,"Epidemic intelligence, national daily data",2020-07-07
Denmark,DNK,DK,DNK,57,0,5806081,"Epidemic intelligence, national daily data",2020-03-17
Croatia,HRV,HR,HRV,91,1,4076246,"Epidemic intelligence, national daily data",2020-07-10
